Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,11,1348,1220,434,16,116,1,12,16,0,0
C:\iring-tools\adapter\iRINGTools.Applications\Scripts\AM\view\nhconfig,11,1348,1220,434,16,116,1,12,16,0,0
